Workshop.Other.Weapons.Other.Attachments.Rails.M1911_Rail,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,Rare,Rare
Workshop.Other.Weapons.Other.Attachments.Rails.MP5_Rail_Short,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,Rare,ExtremelyRare
Workshop.Other.Weapons.Other.Attachments.Rails.ScopeRail_AK47,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,Rare,VeryRare
Workshop.Other.Weapons.Other.Attachments.Scopes.WeaponScope_HuntingScope,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,Rare,Rare
Workshop.Other.Weapons.Other.Attachments.Scopes.WW2s.WeaponScope_ZF39,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,Rare,VeryRare,Rare
Workshop.Other.Weapons.Other.Attachments.Scopes.WW2s.WeaponSights_M1_ScopeAndSights,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,Rare,VeryRare,Rare
Workshop.Other.Weapons.Other.Attachments.Sights.BowSights.CompoundBowSight_3_Pin,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,ExtremelyRare,Uncommon,VeryRare
Workshop.Other.Weapons.Other.Attachments.Sights.BowSights.CompoundBowSight_5_Pin,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,ExtremelyRare,Uncommon,VeryRare
Workshop.Other.Weapons.Other.Attachments.Sights.WeaponSights_Deagle_RedDot,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,ExtremelyRare,Rare
Workshop.Other.Weapons.Other.Attachments.Sights.WeaponSights_M1_Experimental,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,ExtremelyRare,VeryRare
Workshop.Other.Weapons.Other.Attachments.Sights.WeaponSights_OKP-7_Holographic,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,ExtremelyRare,ExtremelyRare
Workshop.Other.Weapons.Other.Attachments.Sights.WeaponSights_RedDot_CA401B,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,ExtremelyRare,ExtremelyRare
Workshop.Other.Weapons.Other.Attachments.Suppressors.BowParts.Bow_MicroStabilizer,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,Rare,Rare,Rare
Workshop.Other.Weapons.Other.Attachments.Suppressors.BowParts.BowSilencer,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,Rare,Rare,Rare
Workshop.Other.Weapons.Other.Attachments.Suppressors.BowParts.BowSilencer_SlipOn,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,Rare,Rare,Rare
Workshop.Other.Weapons.Other.Attachments.Suppressors.M1Parts.WeaponFlashHider,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,Rare,ExtremelyRare,Rare
Workshop.Other.Weapons.Other.Attachments.Suppressors.M1Parts.WeaponSuppressor_M1,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,Rare,ExtremelyRare,Rare
Workshop.Other.Weapons.Other.Attachments.Suppressors.WeaponSuppressor_45ACP,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,Rare,ExtremelyRare
Workshop.Other.Weapons.Other.Attachments.Suppressors.WeaponSuppressor_Handgun,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,Rare,VeryRare
Workshop.Other.Weapons.Other.Attachments.Suppressors.WeaponSuppressor_MAC10,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,Rare,ExtremelyRare
Workshop.Other.Weapons.Other.Attachments.Suppressors.WeaponSuppressor_MP5,Uncommon,ExtremelyRare,ExtremelyRare,Rare,VeryRare,Rare,ExtremelyRare
Workshop.Other.Weapons.Other.Magazines.AssaultRifles.Magazine_AK47,Uncommon,ExtremelyRare,ExtremelyRare,Rare,Rare,ExtremelyRare,VeryRare
Workshop.Other.Weapons.Other.Magazines.AssaultRifles.Magazine_RPK,Uncommon,ExtremelyRare,ExtremelyRare,Rare,Rare,ExtremelyRare,ExtremelyRare
Workshop.Other.Weapons.Other.Magazines.Handguns.Magazine_Block21,Uncommon,ExtremelyRare,ExtremelyRare,Rare,Rare,Uncommon,Uncommon
Workshop.Other.Weapons.Other.Magazines.Handguns.Magazine_DEagle_50,Uncommon,ExtremelyRare,ExtremelyRare,Rare,Rare,Uncommon,VeryRare
Workshop.Other.Weapons.Other.Magazines.Handguns.Magazine_DEagle_357,Uncommon,ExtremelyRare,ExtremelyRare,Rare,Rare,Uncommon,Rare
Workshop.Other.Weapons.Other.Magazines.Handguns.Magazine_Krueger,Uncommon,ExtremelyRare,ExtremelyRare,Rare,Rare,Uncommon,Common
Workshop.Other.Weapons.Other.Magazines.Handguns.Magazine_M1911,Uncommon,ExtremelyRare,ExtremelyRare,Rare,Rare,Uncommon,Uncommon
Workshop.Other.Weapons.Other.Magazines.Handguns.Magazine_M9,Uncommon,ExtremelyRare,ExtremelyRare,Rare,Rare,Uncommon,Common
Workshop.Other.Weapons.Other.Magazines.Rifles.M1_Clip,Uncommon,ExtremelyRare,ExtremelyRare,Rare,Rare,VeryRare,Rare
Workshop.Other.Weapons.Other.Optics.Binoculars,Uncommon,ExtremelyRare,ExtremelyRare,Rare,Rare,Rare
Workshop.Other.Weapons.Other.Optics.Night_Vision_Googles_01,Uncommon,ExtremelyRare,ExtremelyRare,Rare,Rare,ExtremelyRare
Workshop.Other.Weapons.Rifles.Weapon_98k_Karabiner,Uncommon,ExtremelyRare,ExtremelyRare,Common,ExtremelyRare
Workshop.Other.Weapons.Rifles.Weapon_Hunter85_V2,Uncommon,ExtremelyRare,ExtremelyRare,Common,Abundant
Workshop.Other.Weapons.Rifles.Weapon_MosinNagant,Uncommon,ExtremelyRare,ExtremelyRare,Common,ExtremelyRare
Workshop.Other.Weapons.Shotguns.Weapon_DT11B,Uncommon,ExtremelyRare,ExtremelyRare,VeryRare,Uncommon
Workshop.Other.Weapons.Shotguns.Weapon_DT11B_Sawed_Off,Uncommon,ExtremelyRare,ExtremelyRare,VeryRare,Rare
Workshop.Other.Weapons.Shotguns.Weapon_M1887,Uncommon,ExtremelyRare,ExtremelyRare,VeryRare,Uncommon
Workshop.Other.Weapons.Shotguns.Weapon_M1887_Sawed_off,Uncommon,ExtremelyRare,ExtremelyRare,VeryRare,Rare
Workshop.Other.Weapons.Swords.1H_Metal_Sword,Uncommon,ExtremelyRare,ExtremelyRare,VeryRare,Rare
Workshop.Other.Weapons.Swords.2H_Katana,Uncommon,ExtremelyRare,ExtremelyRare,VeryRare,ExtremelyRare
Workshop.RepairToolkits.Car.Car_Repair_Kit,Uncommon,Rare,VeryRare,Rare
Workshop.RepairToolkits.Car.Gasoline_Canister,Uncommon,Rare,VeryRare,VeryRare
Workshop.RepairToolkits.Car.Gasoline_Canister_Small,Uncommon,Rare,VeryRare,Rare
Workshop.RepairToolkits.Car.Tire_Repair_Kit,Uncommon,Rare,VeryRare,VeryRare
Workshop.RepairToolkits.General.Tool_Box,Uncommon,Rare,Uncommon,VeryRare
Workshop.RepairToolkits.General.Tool_Box_Small,Uncommon,Rare,Uncommon,Abundant
Workshop.RepairToolkits.Weapons.Grinding_Stone_02,Uncommon,Rare,ExtremelyRare,VeryRare
Workshop.RepairToolkits.Weapons.Weapon_Cleaning_Kit,Uncommon,Rare,ExtremelyRare,ExtremelyRare
Workshop.tools.Blades.1H_Bushman,Uncommon,Uncommon,ExtremelyRare,VeryRare
Workshop.tools.Blades.1H_Cleaver,Uncommon,Uncommon,ExtremelyRare,Common
Workshop.tools.Blades.1H_KitchenKnife,Uncommon,Uncommon,ExtremelyRare,Uncommon
Workshop.tools.Blades.1H_Kunai,Uncommon,Uncommon,ExtremelyRare,Rare
Workshop.tools.Blades.1H_Metal_Sword,Uncommon,Uncommon,ExtremelyRare,ExtremelyRare
Workshop.tools.Blades.1H_MK5000_Black,Uncommon,Uncommon,ExtremelyRare,VeryRare
Workshop.tools.Blades.1H_Scalpel,Uncommon,Uncommon,ExtremelyRare,Abundant
Workshop.tools.Blades.2H_Katana,Uncommon,Uncommon,ExtremelyRare,ExtremelyRare
Workshop.tools.Electrical.Batteries,Uncommon,Uncommon,Rare,Rare
Workshop.tools.Electrical.Car_Battery,Uncommon,Uncommon,Rare,VeryRare
Workshop.tools.Electrical.Car_Battery_Cables,Uncommon,Uncommon,Rare,Rare
Workshop.tools.Electrical.Electrical_Repair_Kit,Uncommon,Uncommon,Rare,VeryRare
Workshop.tools.Electrical.Electrician_Tools,Uncommon,Uncommon,Rare,VeryRare
Workshop.tools.Electrical.Fuse_200A,Uncommon,Uncommon,Rare,Uncommon
Workshop.tools.Electrical.Mobile_Phone,Uncommon,Uncommon,Rare,VeryRare
Workshop.tools.Electrical.Smartphone_Battery,Uncommon,Uncommon,Rare,Rare
Workshop.tools.Electrical.Wire,Uncommon,Uncommon,Rare,Abundant
Workshop.tools.Electrical.Wire_Cutters_01,Uncommon,Uncommon,Rare,Uncommon
Workshop.tools.Hand.1H_Crowbar,Uncommon,Uncommon,Rare,Uncommon
Workshop.tools.Hand.1H_Metal_Pipe,Uncommon,Uncommon,Rare,Uncommon
Workshop.tools.Hand.1H_Wrench_Pipe,Uncommon,Uncommon,Rare,Uncommon
Workshop.tools.Hand.CanOpener,Uncommon,Uncommon,Rare,Rare
Workshop.tools.Hand.Lockpick_Advanced_Item,Uncommon,Uncommon,Rare,VeryRare
Workshop.tools.Hand.Lockpick_Item,Uncommon,Uncommon,Rare,Rare
Workshop.tools.Hand.Saw,Uncommon,Uncommon,Rare,Rare
Workshop.tools.Hand.Screwdriver,Uncommon,Uncommon,Rare,ExtremelyRare
Workshop.tools.Hand.Screwdriver_Small,Uncommon,Uncommon,Rare,Common
Workshop.tools.Hand.Thermometer,Uncommon,Uncommon,Rare,VeryRare
Workshop.tools.Hand.Wire_Cutters_01,Uncommon,Uncommon,Rare,Uncommon
Workshop.tools.Heavy.2H_Pickaxe,Uncommon,Uncommon,VeryRare,VeryRare
Workshop.tools.Heavy.Axes.1H_Small_Axe,Uncommon,Uncommon,VeryRare,Rare,Rare
Workshop.tools.Heavy.Axes.1H_Traynors_Axe,Uncommon,Uncommon,VeryRare,Rare,ExtremelyRare
Workshop.tools.Heavy.Axes.2H_Axe,Uncommon,Uncommon,VeryRare,Rare,VeryRare
Workshop.tools.Heavy.Bats.2H_Baseball_Bat,Uncommon,Uncommon,VeryRare,VeryRare,Uncommon
Workshop.tools.Heavy.Bats.2H_Baseball_Bat_Blaze,Uncommon,Uncommon,VeryRare,VeryRare,VeryRare
Workshop.tools.Heavy.Bats.2H_Metal_Baseball_Bat,Uncommon,Uncommon,VeryRare,VeryRare,Rare
Workshop.tools.Heavy.Pitchforks.2H_Pitchfork,Uncommon,Uncommon,VeryRare,Rare,Rare
Workshop.tools.Heavy.Pitchforks.2H_Pitchfork_Bent,Uncommon,Uncommon,VeryRare,Rare,Rare
Workshop.tools.Heavy.Shovels.1H_Little_Spade,Uncommon,Uncommon,VeryRare,Rare,VeryRare
Workshop.tools.Heavy.Shovels.2H_Shovel_01,Uncommon,Uncommon,VeryRare,Rare,Rare
Workshop.tools.Power.Chainsaw,Uncommon,Uncommon,ExtremelyRare,ExtremelyRare
Workshop.tools.Power.Drill,Uncommon,Uncommon,ExtremelyRare,VeryRare
Workshop.tools.Power.Rebar_Cutter,Uncommon,Uncommon,ExtremelyRare,VeryRare
Workshop.WorkClothes.Feet.ConstructionBoots.Boots_06_01,Uncommon,Common,VeryRare,Rare,Rare
Workshop.WorkClothes.Feet.HikingBoots.Hiking_Boots_01,Uncommon,Common,VeryRare,VeryRare,Rare
Workshop.WorkClothes.Feet.HikingBoots.Hiking_Boots_04,Uncommon,Common,VeryRare,VeryRare,Rare
Workshop.WorkClothes.Feet.RubberBoots.Boots_07_01,Uncommon,Common,VeryRare,Rare,Rare
Workshop.WorkClothes.Hands.ConstructionGloves.Construction_Gloves_01_01,Uncommon,Common,Rare,Rare,Rare
Workshop.WorkClothes.Hands.RubberGloves.Electrician_Glove_01_01,Uncommon,Common,Rare,Rare,Rare
Workshop.WorkClothes.Head.Beanies.Beenie_01,Uncommon,Common,Uncommon,Rare,Common
Workshop.WorkClothes.Head.Beanies.RK_Beanie_01,Uncommon,Common,Uncommon,Rare,ExtremelyRare
Workshop.WorkClothes.Head.Caps.Baseball_Cap_13,Uncommon,Common,Uncommon,Uncommon,VeryRare
Workshop.WorkClothes.Head.Caps.Baseball_Cap_01,Uncommon,Common,Uncommon,Uncommon,Rare
Workshop.WorkClothes.Head.Caps.BP_HeadLamp,Uncommon,Common,Uncommon,Uncommon,Rare
Workshop.WorkClothes.Head.EarProtection.Ear_Plugs,Uncommon,Common,Uncommon,Uncommon,Rare
Workshop.WorkClothes.Head.EarProtection.EarMuffs.Construction_Earmuffs_01,Uncommon,Common,Uncommon,Uncommon,VeryRare,VeryRare
Workshop.WorkClothes.Head.GasMasks.Gas_Mask_01,Uncommon,Common,Uncommon,ExtremelyRare,Uncommon
Workshop.WorkClothes.Head.GasMasks.Gas_Mask_02,Uncommon,Common,Uncommon,ExtremelyRare,Uncommon
Workshop.WorkClothes.Head.GasMasks.Gas_Mask_03,Uncommon,Common,Uncommon,ExtremelyRare,ExtremelyRare
Workshop.WorkClothes.Head.GasMasks.Gas_Mask_04,Uncommon,Common,Uncommon,ExtremelyRare,Uncommon
Workshop.WorkClothes.Head.Goggles.Geek_Goggels,Uncommon,Common,Uncommon,Rare,Rare
Workshop.WorkClothes.Head.Goggles.Motorcycle_Glasses_01,Uncommon,Common,Uncommon,Rare,Rare
Workshop.WorkClothes.Head.Goggles.Pilot_Glasses,Uncommon,Common,Uncommon,Rare,Rare
Workshop.WorkClothes.Head.Goggles.Round_Sunglasses,Uncommon,Common,Uncommon,Rare,Rare
Workshop.WorkClothes.Head.Goggles.Safety_Goggles,Uncommon,Common,Uncommon,Rare,Rare
Workshop.WorkClothes.Head.HardHats.Working_Helmet_01,Uncommon,Common,Uncommon,Uncommon,Uncommon
Workshop.WorkClothes.Head.Hats.Boonie_Hat_01,Uncommon,Common,Uncommon,Uncommon,Rare
Workshop.WorkClothes.Head.Hats.Slouch_Hat_01,Uncommon,Common,Uncommon,Uncommon,Uncommon
Workshop.WorkClothes.Head.Helmets.Fireman_Helmet_01,Uncommon,Common,Uncommon,ExtremelyRare,Uncommon
Workshop.WorkClothes.Head.Helmets.Riot_Helmet_02,Uncommon,Common,Uncommon,ExtremelyRare,VeryRare
Workshop.WorkClothes.Head.Masks.Halloween_Anonymous_Mask_01,Uncommon,Common,Uncommon,VeryRare,Rare
Workshop.WorkClothes.Head.Masks.Motorcycle_Mask_01,Uncommon,Common,Uncommon,VeryRare,Uncommon
Workshop.WorkClothes.Legs.ConstructionPants.Construction_Pants_01,Uncommon,Common,VeryRare,Uncommon,VeryRare
Workshop.WorkClothes.Legs.ShortPants.Short_Trousers_01_01,Uncommon,Common,VeryRare,Rare,VeryRare
Workshop.WorkClothes.Legs.WorkPants.MilitaryPants_01,Uncommon,Common,VeryRare,Common,ExtremelyRare
Workshop.WorkClothes.Legs.WorkPants.MilitaryPants_04,Uncommon,Common,VeryRare,Common,ExtremelyRare
Workshop.WorkClothes.Legs.WorkPants.MilitaryPants_05,Uncommon,Common,VeryRare,Common,ExtremelyRare
Workshop.WorkClothes.Legs.WorkPants.MilitaryPants_08,Uncommon,Common,VeryRare,Common,ExtremelyRare
Workshop.WorkClothes.Legs.WorkPants.Working_pants_01_01,Uncommon,Common,VeryRare,Common,Abundant
Workshop.WorkClothes.Torso.Jackets.Trucker_Jacket_01,Uncommon,Common,VeryRare,Rare,Rare
Workshop.WorkClothes.Torso.Jackets.Work_Jacket_01,Uncommon,Common,VeryRare,Rare,Rare
Workshop.WorkClothes.Torso.Shirts.Military_Shirt_01,Uncommon,Common,VeryRare,Common,VeryRare
Workshop.WorkClothes.Torso.Shirts.Military_Shirt_04,Uncommon,Common,VeryRare,Common,VeryRare
Workshop.WorkClothes.Torso.Shirts.Military_Shirt_05,Uncommon,Common,VeryRare,Common,VeryRare
Workshop.WorkClothes.Torso.Shirts.Sleeveless_Camo_Shirt_01,Uncommon,Common,VeryRare,Common,Rare
Workshop.WorkClothes.Torso.Shirts.Sleeveless_Shirt_01,Uncommon,Common,VeryRare,Common,Uncommon
Workshop.WorkClothes.Torso.Shirts.Woodcuters_Shirt_01,Uncommon,Common,VeryRare,Common,Common
Workshop.WorkClothes.Torso.Vests.Stabproof_Vest_01_01,Uncommon,Common,VeryRare,ExtremelyRare,Uncommon
Workshop.WorkClothes.Torso.Vests.Stabproof_Vest_01_04,Uncommon,Common,VeryRare,ExtremelyRare,Uncommon
Workshop.WorkClothes.Torso.Vests.Stabproof_Vest_01_05,Uncommon,Common,VeryRare,ExtremelyRare,Uncommon
Workshop.WorkClothes.Torso.Vests.Tactical_Vest_01,Uncommon,Common,VeryRare,ExtremelyRare,Rare
